book_id,title,genre,publication_year,price,rating,author_id
50,Book Title 49,Biography,1987,12.6,5,58
51,Book Title 50,Mystery,2007,67.29,3,82
52,Book Title 51,Fantasy,2008,15.46,3,90
53,Book Title 52,Non-Fiction,1997,52.82,2,76
54,Book Title 53,Sci-Fi,1998,71.41,4,6
55,Book Title 54,Non-Fiction,2004,36.98,3,3
56,Book Title 55,Sci-Fi,1984,98.12,2,9
57,Book Title 56,Fiction,1996,65.4,2,74
58,Book Title 57,Romance,2017,16.95,1,11
59,Book Title 58,Fiction,1993,37.45,5,5
60,Book Title 59,Sci-Fi,1992,36.91,4,55
61,Book Title 60,Sci-Fi,2019,60.96,2,18
62,Book Title 61,Sci-Fi,1988,14.06,3,63
63,Book Title 62,Romance,2001,80.5,3,68
64,Book Title 63,Sci-Fi,1991,33.88,3,71
65,Book Title 64,Biography,2013,57.98,4,2
66,Book Title 65,Fantasy,1996,93.87,1,71
67,Book Title 66,Mystery,1993,90.39,3,38
68,Book Title 67,Fantasy,2021,74.27,3,40
69,Book Title 68,Non-Fiction,2011,83.92,3,61
70,Book Title 69,Non-Fiction,2014,98.57,4,46
71,Book Title 70,Fiction,1981,63.51,4,52
72,Book Title 71,Non-Fiction,1987,21.68,4,48
73,Book Title 72,Sci-Fi,1985,19.33,5,43
74,Book Title 73,Fiction,2023,44.96,2,92
75,Book Title 74,Fantasy,2005,78.37,4,38
76,Book Title 75,Non-Fiction,2001,65.2,3,26
77,Book Title 76,Fiction,2011,40.22,3,79
78,Book Title 77,Fiction,1987,20.61,5,12
79,Book Title 78,Mystery,1999,59.97,5,82
80,Book Title 79,Mystery,2009,34.77,2,77
81,Book Title 80,Romance,2014,37.26,4,89
82,Book Title 81,Fiction,2018,83.23,2,35
83,Book Title 82,Sci-Fi,1993,62.11,1,55
84,Book Title 83,Fiction,2005,99.69,2,19
85,Book Title 84,Biography,1999,23.0,3,93
86,Book Title 85,Fiction,1980,28.77,1,7
87,Book Title 86,Non-Fiction,2017,34.69,4,65
88,Book Title 87,Non-Fiction,2008,29.3,3,48
89,Book Title 88,Mystery,1993,31.37,1,28
90,Book Title 89,Mystery,2004,84.79,2,36
91,Book Title 90,Non-Fiction,2016,35.68,1,65
92,Book Title 91,Non-Fiction,2002,99.07,4,4
93,Book Title 92,Fiction,1980,62.72,1,24
94,Book Title 93,Fantasy,2014,77.98,3,100
95,Book Title 94,Mystery,1995,9.34,4,68
96,Book Title 95,Sci-Fi,2010,11.87,2,34
97,Book Title 96,Romance,2022,20.82,4,45
98,Book Title 97,Romance,2005,66.59,1,33
99,Book Title 98,Biography,2002,82.49,1,64
100,Book Title 99,Biography,2010,7.01,4,36
101,Book Title 100,Biography,2004,68.38,3,13
102,Book Title 101,Romance,2017,58.54,1,52
103,Book Title 102,Fiction,2021,6.65,1,36
104,Book Title 103,Non-Fiction,1992,50.21,2,61
105,Book Title 104,Fiction,2009,28.29,4,86
106,Book Title 105,Non-Fiction,2018,9.19,3,59
107,Book Title 106,Fantasy,1997,46.18,4,90
108,Book Title 107,Romance,2023,36.49,3,68
109,Book Title 108,Non-Fiction,2004,63.74,4,19
110,Book Title 109,Fiction,1986,52.82,3,13
111,Book Title 110,Romance,2016,49.85,5,88
112,Book Title 111,Non-Fiction,2021,75.96,4,36
113,Book Title 112,Fantasy,2023,8.01,2,83
114,Book Title 113,Fantasy,1998,44.29,4,26
115,Book Title 114,Sci-Fi,2008,57.51,5,35
116,Book Title 115,Biography,2014,64.53,2,59
117,Book Title 116,Non-Fiction,2013,35.15,3,28
118,Book Title 117,Mystery,1998,72.53,5,26
119,Book Title 118,Romance,1993,43.26,1,22
120,Book Title 119,Non-Fiction,2003,45.23,3,48
121,Book Title 120,Fantasy,1983,69.59,1,15
122,Book Title 121,Biography,2004,48.97,2,16
123,Book Title 122,Biography,1983,54.16,4,41
124,Book Title 123,Romance,1993,5.09,3,49
125,Book Title 124,Fantasy,1992,47.01,1,87
126,Book Title 125,Fantasy,1980,13.39,5,99
127,Book Title 126,Sci-Fi,1984,49.52,5,55
128,Book Title 127,Mystery,2012,66.67,1,46
129,Book Title 128,Sci-Fi,2020,90.91,3,94
130,Book Title 129,Fantasy,2019,34.93,3,94
131,Book Title 130,Fiction,2004,74.84,1,88
132,Book Title 131,Romance,1984,70.79,2,94
133,Book Title 132,Fantasy,2016,18.9,4,49
134,Book Title 133,Fiction,2008,82.31,1,55
135,Book Title 134,Fiction,1998,5.9,4,33
136,Book Title 135,Fiction,2003,35.99,1,57
137,Book Title 136,Fantasy,2018,13.04,2,88
138,Book Title 137,Sci-Fi,2012,77.6,1,32
139,Book Title 138,Romance,2013,73.96,4,40
140,Book Title 139,Mystery,2020,85.15,5,39
141,Book Title 140,Fiction,2020,7.11,2,36
142,Book Title 141,Fantasy,1987,80.03,5,44
143,Book Title 142,Fantasy,2023,32.0,2,41
144,Book Title 143,Non-Fiction,2016,76.61,3,40
145,Book Title 144,Fiction,2013,28.17,5,52
146,Book Title 145,Sci-Fi,2014,93.59,3,17
147,Book Title 146,Fantasy,2016,84.46,1,98
148,Book Title 147,Biography,1982,37.96,2,96
149,Book Title 148,Biography,1981,48.86,3,74
150,Book Title 149,Fiction,2020,70.87,5,26
151,Book Title 150,Fiction,2008,41.63,1,35
152,Book Title 151,Fantasy,2005,37.45,4,44
153,Book Title 152,Romance,2002,96.13,4,13
154,Book Title 153,Biography,2001,84.53,5,57
155,Book Title 154,Non-Fiction,1987,59.03,5,57
156,Book Title 155,Sci-Fi,2022,62.07,4,1
157,Book Title 156,Biography,1985,79.04,2,48
158,Book Title 157,Romance,2016,98.75,3,100
159,Book Title 158,Sci-Fi,2022,42.26,2,60
160,Book Title 159,Romance,2011,38.73,5,75
161,Book Title 160,Mystery,2003,72.71,3,67
162,Book Title 161,Mystery,1995,86.17,2,30
163,Book Title 162,Fantasy,1984,84.27,3,51
164,Book Title 163,Fantasy,1992,82.69,4,91
165,Book Title 164,Sci-Fi,2008,46.19,2,99
166,Book Title 165,Fiction,2013,90.15,1,37
167,Book Title 166,Non-Fiction,1999,43.29,4,78
168,Book Title 167,Non-Fiction,1996,47.72,2,41
169,Book Title 168,Sci-Fi,2013,77.86,3,98
170,Book Title 169,Fiction,1998,88.23,2,46
171,Book Title 170,Mystery,1988,72.46,2,81
172,Book Title 171,Mystery,1993,36.45,1,18
173,Book Title 172,Mystery,1996,40.15,1,16
174,Book Title 173,Fiction,2002,99.68,1,76
175,Book Title 174,Fiction,1999,94.08,4,97
176,Book Title 175,Sci-Fi,2015,14.32,5,11
177,Book Title 176,Biography,1999,88.79,2,60
178,Book Title 177,Non-Fiction,2008,6.62,3,17
179,Book Title 178,Non-Fiction,1984,10.61,5,33
180,Book Title 179,Biography,1986,18.62,2,87
181,Book Title 180,Fiction,2002,16.29,2,84
182,Book Title 181,Fantasy,2008,28.39,5,8
183,Book Title 182,Biography,1985,55.55,5,22
184,Book Title 183,Romance,2007,88.34,2,21
185,Book Title 184,Fantasy,2001,42.05,5,24
186,Book Title 185,Romance,1989,67.15,1,74
187,Book Title 186,Non-Fiction,1997,12.99,4,55
188,Book Title 187,Romance,2006,88.77,5,92
189,Book Title 188,Biography,1999,76.5,5,68
190,Book Title 189,Non-Fiction,1987,68.29,5,34
191,Book Title 190,Sci-Fi,2014,50.74,3,29
192,Book Title 191,Romance,1996,36.76,3,60
193,Book Title 192,Non-Fiction,2013,13.46,5,67
194,Book Title 193,Mystery,1992,51.7,1,1
195,Book Title 194,Mystery,2006,63.1,1,85
196,Book Title 195,Biography,1990,98.8,2,80
197,Book Title 196,Sci-Fi,1999,94.94,2,75
198,Book Title 197,Mystery,1980,7.78,1,85
199,Book Title 198,Romance,2020,12.98,3,37
200,Book Title 199,Mystery,1983,51.03,4,24
201,Book Title 200,Fantasy,2019,13.44,4,19
202,Book Title 201,Mystery,2013,38.33,4,44
203,Book Title 202,Biography,2004,54.95,2,1
204,Book Title 203,Fiction,1987,59.32,4,54
205,Book Title 204,Fantasy,2005,53.42,5,62
206,Book Title 205,Biography,1987,35.4,4,43
207,Book Title 206,Mystery,1998,28.47,5,13
208,Book Title 207,Biography,2001,84.3,4,61
209,Book Title 208,Fiction,2012,88.84,1,71
210,Book Title 209,Romance,2002,49.66,4,35
211,Book Title 210,Fiction,2006,80.64,1,74
212,Book Title 211,Mystery,1997,53.05,3,63
213,Book Title 212,Non-Fiction,2005,38.19,3,58
214,Book Title 213,Fiction,2005,22.36,5,51
215,Book Title 214,Sci-Fi,2020,97.23,1,65
216,Book Title 215,Biography,2022,27.69,5,68
217,Book Title 216,Fiction,1994,31.03,3,39
218,Book Title 217,Sci-Fi,1985,76.24,2,17
219,Book Title 218,Fiction,2003,74.99,2,91
220,Book Title 219,Mystery,1982,6.96,5,63
221,Book Title 220,Fantasy,1986,78.07,4,52
222,Book Title 221,Romance,1985,79.15,5,21
223,Book Title 222,Fiction,2012,71.41,2,55
224,Book Title 223,Biography,2012,64.71,2,65
225,Book Title 224,Biography,1986,29.2,4,44
226,Book Title 225,Non-Fiction,2019,77.64,1,67
227,Book Title 226,Romance,1985,21.38,4,58
228,Book Title 227,Romance,2017,21.63,4,38
229,Book Title 228,Fiction,1987,76.14,2,71
230,Book Title 229,Romance,1999,71.88,5,90
231,Book Title 230,Mystery,1990,11.78,5,46
232,Book Title 231,Romance,1981,88.76,1,100
233,Book Title 232,Fiction,1983,25.84,1,66
234,Book Title 233,Biography,1980,95.25,3,23
235,Book Title 234,Fiction,2012,92.18,4,99
236,Book Title 235,Romance,1992,88.13,5,72
237,Book Title 236,Non-Fiction,1981,76.98,5,27
238,Book Title 237,Biography,2010,76.13,5,26
239,Book Title 238,Mystery,2003,53.45,5,11
240,Book Title 239,Fantasy,1984,5.66,5,23
241,Book Title 240,Romance,1984,16.52,2,81
242,Book Title 241,Non-Fiction,2023,40.1,5,8
243,Book Title 242,Fiction,1997,70.17,1,44
244,Book Title 243,Fantasy,2022,94.46,5,48
245,Book Title 244,Fiction,2003,93.88,1,62
246,Book Title 245,Biography,1994,72.57,1,10
247,Book Title 246,Fiction,2010,37.81,3,23
248,Book Title 247,Mystery,2010,12.12,5,24
249,Book Title 248,Fantasy,2015,65.41,2,17
250,Book Title 249,Non-Fiction,1991,35.38,5,55
251,Book Title 250,Biography,2020,95.68,3,1
252,Book Title 251,Mystery,2008,54.91,1,75
253,Book Title 252,Mystery,1990,97.86,3,22
254,Book Title 253,Fantasy,1988,94.3,5,73
255,Book Title 254,Romance,2002,13.05,1,96
256,Book Title 255,Biography,2003,64.85,4,25
257,Book Title 256,Romance,1995,13.78,3,100
258,Book Title 257,Biography,2014,92.51,3,80
259,Book Title 258,Romance,1992,22.69,4,38
260,Book Title 259,Non-Fiction,2017,98.67,4,83
261,Book Title 260,Romance,2000,60.33,2,48
262,Book Title 261,Mystery,2021,29.23,5,35
263,Book Title 262,Romance,2015,75.57,5,48
264,Book Title 263,Fiction,2009,45.0,2,44
265,Book Title 264,Sci-Fi,2023,60.14,5,83
266,Book Title 265,Sci-Fi,2001,63.14,4,14
267,Book Title 266,Fiction,1982,53.98,3,76
268,Book Title 267,Biography,1998,93.42,1,70
269,Book Title 268,Fiction,2005,14.27,4,59
270,Book Title 269,Fiction,1999,82.82,1,82
271,Book Title 270,Biography,1980,11.38,4,41
272,Book Title 271,Non-Fiction,1981,91.26,1,44
273,Book Title 272,Biography,1993,40.21,2,45
274,Book Title 273,Non-Fiction,2002,37.03,5,81
275,Book Title 274,Mystery,1981,91.85,4,33
276,Book Title 275,Romance,1983,20.65,1,55
277,Book Title 276,Mystery,2018,30.99,4,57
278,Book Title 277,Fiction,1985,51.66,2,29
279,Book Title 278,Biography,1983,9.83,2,72
280,Book Title 279,Sci-Fi,2004,75.28,5,44
281,Book Title 280,Biography,1999,76.7,1,83
282,Book Title 281,Sci-Fi,1988,62.22,1,21
283,Book Title 282,Mystery,2001,47.74,4,80
284,Book Title 283,Non-Fiction,1984,89.78,2,29
285,Book Title 284,Biography,1986,57.38,2,43
286,Book Title 285,Biography,2000,52.13,4,69
287,Book Title 286,Non-Fiction,1989,83.45,3,33
288,Book Title 287,Romance,1980,28.88,1,32
289,Book Title 288,Fantasy,2002,38.7,1,31
290,Book Title 289,Fantasy,2022,53.83,5,34
291,Book Title 290,Fantasy,1990,66.56,5,64
292,Book Title 291,Sci-Fi,2020,32.48,1,85
293,Book Title 292,Romance,1997,16.32,2,75
294,Book Title 293,Romance,1982,92.31,1,54
295,Book Title 294,Biography,2006,95.48,3,30
296,Book Title 295,Non-Fiction,1996,85.16,5,22
297,Book Title 296,Sci-Fi,1991,25.99,1,69
298,Book Title 297,Fiction,2017,99.13,1,49
299,Book Title 298,Fiction,2021,62.82,1,24
300,Book Title 299,Fantasy,2006,18.47,3,63
301,Book Title 300,Fantasy,1998,26.64,3,57
302,Book Title 301,Sci-Fi,2005,74.73,2,63
303,Book Title 302,Fantasy,2000,49.14,4,57
304,Book Title 303,Sci-Fi,2006,67.75,2,20
305,Book Title 304,Mystery,2023,86.34,4,26
306,Book Title 305,Fiction,1992,17.74,2,93
307,Book Title 306,Biography,2006,66.05,4,60
308,Book Title 307,Non-Fiction,2015,13.79,5,17
309,Book Title 308,Sci-Fi,2010,30.33,5,24
310,Book Title 309,Fiction,1983,72.06,4,47
311,Book Title 310,Sci-Fi,2001,83.49,4,17
312,Book Title 311,Fantasy,2007,23.61,5,86
313,Book Title 312,Fantasy,2002,93.09,2,16
314,Book Title 313,Fantasy,1989,74.82,3,79
315,Book Title 314,Biography,2010,47.37,5,78
316,Book Title 315,Sci-Fi,2014,96.29,2,18
317,Book Title 316,Fiction,1990,77.29,1,81
318,Book Title 317,Non-Fiction,1981,96.29,4,75
319,Book Title 318,Biography,2001,74.86,5,1
320,Book Title 319,Romance,2018,77.92,4,26
321,Book Title 320,Fantasy,2009,57.84,1,45
322,Book Title 321,Sci-Fi,2000,72.68,5,42
323,Book Title 322,Non-Fiction,2003,64.75,5,48
324,Book Title 323,Mystery,2000,16.87,5,79
325,Book Title 324,Mystery,1986,69.37,5,47
326,Book Title 325,Fiction,2015,27.28,4,73
327,Book Title 326,Romance,1993,46.71,4,34
328,Book Title 327,Fiction,1980,95.54,3,30
329,Book Title 328,Fantasy,1989,41.92,5,57
330,Book Title 329,Non-Fiction,1988,11.02,2,89
331,Book Title 330,Mystery,2012,39.49,2,63
332,Book Title 331,Mystery,2017,20.66,2,40
333,Book Title 332,Non-Fiction,1997,62.34,4,43
334,Book Title 333,Fantasy,1990,96.85,1,10
335,Book Title 334,Romance,1985,87.96,3,63
336,Book Title 335,Non-Fiction,2020,20.33,3,45
337,Book Title 336,Romance,1981,93.36,1,10
338,Book Title 337,Mystery,2021,58.64,5,3
339,Book Title 338,Mystery,2012,66.63,5,51
340,Book Title 339,Fiction,1991,25.87,4,75
341,Book Title 340,Fantasy,2019,28.81,3,44
342,Book Title 341,Romance,1982,77.65,3,74
343,Book Title 342,Fantasy,1992,69.15,1,98
344,Book Title 343,Sci-Fi,1996,18.57,5,49
345,Book Title 344,Sci-Fi,1987,44.37,1,61
346,Book Title 345,Mystery,1986,82.79,3,88
347,Book Title 346,Fiction,2002,82.78,5,69
348,Book Title 347,Fiction,2010,21.97,2,6
349,Book Title 348,Romance,1990,16.56,4,9
350,Book Title 349,Fiction,1994,51.04,3,13
351,Book Title 350,Mystery,1982,8.15,1,12
352,Book Title 351,Mystery,2022,68.03,2,62
353,Book Title 352,Biography,2012,82.37,4,98
354,Book Title 353,Mystery,2005,73.29,3,79
355,Book Title 354,Non-Fiction,2005,81.69,4,17
356,Book Title 355,Mystery,2011,87.58,1,64
357,Book Title 356,Mystery,1982,63.61,2,81
358,Book Title 357,Fiction,1987,42.19,1,98
359,Book Title 358,Non-Fiction,2007,88.41,3,19
360,Book Title 359,Biography,1980,17.08,2,33
361,Book Title 360,Romance,2022,67.13,3,71
362,Book Title 361,Non-Fiction,2012,13.46,4,71
363,Book Title 362,Mystery,2012,73.58,4,72
364,Book Title 363,Fiction,2004,13.64,3,62
365,Book Title 364,Sci-Fi,1996,26.44,5,78
366,Book Title 365,Romance,1996,96.67,2,66
367,Book Title 366,Mystery,2003,95.92,3,85
368,Book Title 367,Non-Fiction,2004,23.28,2,2
369,Book Title 368,Fiction,2018,9.2,2,50
370,Book Title 369,Biography,1995,85.74,2,74
371,Book Title 370,Non-Fiction,2002,51.88,1,56
372,Book Title 371,Sci-Fi,1986,19.27,3,65
373,Book Title 372,Fiction,2007,89.71,5,7
374,Book Title 373,Non-Fiction,2003,43.78,5,37
375,Book Title 374,Fantasy,1993,34.85,1,5
376,Book Title 375,Biography,1981,58.84,5,53
377,Book Title 376,Fiction,2014,32.14,4,98
378,Book Title 377,Fantasy,2005,55.48,4,29
379,Book Title 378,Fiction,1989,14.98,3,81
380,Book Title 379,Biography,1991,26.47,1,97
381,Book Title 380,Sci-Fi,2015,78.58,1,9
382,Book Title 381,Fantasy,2011,62.11,2,38
383,Book Title 382,Fantasy,2019,88.71,2,62
384,Book Title 383,Romance,1987,59.5,1,73
385,Book Title 384,Fiction,2015,33.54,5,100
386,Book Title 385,Fantasy,1992,73.53,3,88
387,Book Title 386,Fantasy,2001,62.39,3,42
388,Book Title 387,Non-Fiction,1988,17.15,4,66
389,Book Title 388,Non-Fiction,1992,79.48,5,62
390,Book Title 389,Non-Fiction,2009,25.63,4,1
391,Book Title 390,Non-Fiction,2000,84.31,4,95
392,Book Title 391,Mystery,2005,16.34,4,53
393,Book Title 392,Biography,1981,65.07,4,30
394,Book Title 393,Biography,2018,40.1,2,94
395,Book Title 394,Mystery,1987,36.21,5,53
396,Book Title 395,Fantasy,2014,5.96,4,15
397,Book Title 396,Fiction,1991,98.83,3,75
398,Book Title 397,Fiction,1998,71.19,3,7
399,Book Title 398,Non-Fiction,2004,27.32,2,7
400,Book Title 399,Mystery,1999,97.86,3,31
401,Book Title 400,Fiction,2016,9.92,4,52
402,Book Title 401,Sci-Fi,1982,15.23,5,11
403,Book Title 402,Sci-Fi,1996,80.41,1,56
404,Book Title 403,Romance,2010,90.76,3,36
405,Book Title 404,Fiction,1989,46.5,4,23
406,Book Title 405,Mystery,2022,85.15,2,60
407,Book Title 406,Mystery,1994,57.09,2,64
408,Book Title 407,Mystery,2002,51.04,2,76
409,Book Title 408,Romance,2018,25.43,3,68
410,Book Title 409,Mystery,2021,81.89,2,87
411,Book Title 410,Fantasy,1991,73.09,3,31
412,Book Title 411,Non-Fiction,1995,65.48,4,60
413,Book Title 412,Non-Fiction,1985,98.65,1,75
414,Book Title 413,Mystery,1987,87.72,1,12
415,Book Title 414,Mystery,1985,73.59,3,20
416,Book Title 415,Sci-Fi,1982,70.98,1,94
417,Book Title 416,Mystery,2005,24.11,4,31
418,Book Title 417,Fiction,1981,76.12,3,92
419,Book Title 418,Sci-Fi,1980,87.44,2,89
420,Book Title 419,Biography,1989,77.22,4,57
421,Book Title 420,Fantasy,2001,89.26,5,25
422,Book Title 421,Romance,2010,20.42,3,77
423,Book Title 422,Mystery,1989,79.01,1,81
424,Book Title 423,Fantasy,1992,58.43,3,95
425,Book Title 424,Fiction,1988,89.51,2,15
426,Book Title 425,Romance,1994,8.28,2,74
427,Book Title 426,Sci-Fi,1987,44.83,5,40
428,Book Title 427,Romance,1994,64.22,1,89
429,Book Title 428,Fantasy,1996,82.1,1,83
430,Book Title 429,Romance,2013,61.68,5,71
431,Book Title 430,Biography,1997,37.48,1,49
432,Book Title 431,Non-Fiction,1994,85.11,5,84
433,Book Title 432,Sci-Fi,2017,28.67,2,96
434,Book Title 433,Sci-Fi,2006,84.05,4,27
435,Book Title 434,Fantasy,1999,69.52,4,51
436,Book Title 435,Mystery,1983,70.63,4,80
437,Book Title 436,Fantasy,1998,81.56,4,37
438,Book Title 437,Romance,1995,20.17,1,93
439,Book Title 438,Non-Fiction,2011,78.95,5,94
440,Book Title 439,Fantasy,1980,96.62,2,19
441,Book Title 440,Fiction,1996,89.03,5,80
442,Book Title 441,Sci-Fi,2019,14.93,5,42
443,Book Title 442,Fantasy,1997,57.02,2,48
444,Book Title 443,Biography,1999,25.7,3,64
445,Book Title 444,Romance,2023,53.92,2,59
446,Book Title 445,Fiction,1992,61.14,3,8
447,Book Title 446,Romance,1985,18.56,1,37
448,Book Title 447,Romance,2021,37.96,1,93
449,Book Title 448,Fantasy,2014,77.03,3,3
450,Book Title 449,Non-Fiction,2003,5.23,1,43
451,Book Title 450,Mystery,1983,29.27,3,19
452,Book Title 451,Fantasy,1985,24.1,1,32
453,Book Title 452,Non-Fiction,2023,31.51,1,97
454,Book Title 453,Mystery,1981,55.67,5,47
455,Book Title 454,Fantasy,2002,34.73,5,79
456,Book Title 455,Biography,2005,98.22,2,8
457,Book Title 456,Romance,2013,27.53,1,67
458,Book Title 457,Mystery,1980,44.34,3,14
459,Book Title 458,Non-Fiction,1998,34.42,5,10
460,Book Title 459,Sci-Fi,2017,94.89,4,82
461,Book Title 460,Non-Fiction,2000,77.02,5,37
462,Book Title 461,Biography,2020,55.62,1,41
463,Book Title 462,Biography,1986,39.46,1,38
464,Book Title 463,Non-Fiction,2017,73.99,2,31
465,Book Title 464,Romance,1993,59.35,3,60
466,Book Title 465,Romance,2009,7.67,5,95
467,Book Title 466,Sci-Fi,1989,27.74,1,56
468,Book Title 467,Mystery,2020,31.84,2,24
469,Book Title 468,Biography,2016,85.22,4,46
470,Book Title 469,Biography,2000,69.6,2,46
471,Book Title 470,Fiction,1999,95.77,4,59
472,Book Title 471,Biography,1988,96.07,4,84
473,Book Title 472,Sci-Fi,1994,58.87,5,97
474,Book Title 473,Sci-Fi,2020,55.77,2,78
475,Book Title 474,Biography,2002,99.31,4,5
476,Book Title 475,Non-Fiction,1997,33.61,5,21
477,Book Title 476,Sci-Fi,2002,79.64,5,33
478,Book Title 477,Fiction,2001,43.32,3,67
479,Book Title 478,Fiction,2019,74.8,4,54
480,Book Title 479,Fiction,2010,68.71,1,47
481,Book Title 480,Fantasy,1980,21.85,1,75
482,Book Title 481,Romance,1995,84.06,5,63
483,Book Title 482,Mystery,1989,47.29,4,44
484,Book Title 483,Biography,2019,22.01,3,9
485,Book Title 484,Fiction,1997,10.62,3,35
486,Book Title 485,Romance,2022,22.07,1,13
487,Book Title 486,Sci-Fi,2013,83.0,4,75
488,Book Title 487,Fiction,2019,46.83,5,28
489,Book Title 488,Sci-Fi,2023,62.93,2,28
490,Book Title 489,Mystery,2022,94.29,4,8
491,Book Title 490,Biography,1987,20.21,5,25
492,Book Title 491,Fiction,1990,10.54,5,68
493,Book Title 492,Biography,1982,28.78,3,13
494,Book Title 493,Non-Fiction,2004,95.76,4,73
495,Book Title 494,Biography,1998,60.42,2,65
496,Book Title 495,Fiction,2015,76.27,2,46
497,Book Title 496,Fiction,2017,85.92,1,14
498,Book Title 497,Biography,2023,99.9,4,38
499,Book Title 498,Sci-Fi,1984,54.48,4,39
500,Book Title 499,Romance,1992,6.91,5,27
501,Book Title 0,Non-Fiction,2011,26.45,2,9811
502,Book Title 1,Fantasy,1997,88.43,1,9395
503,Book Title 2,Romance,1983,45.28,1,551
504,Book Title 3,Romance,1998,42.75,3,8414
505,Book Title 4,Fiction,2017,61.62,3,8904
506,Book Title 5,Biography,2012,50.11,5,6898
507,Book Title 6,Fiction,1984,16.12,1,7348
508,Book Title 7,Romance,2015,87.43,1,7770
509,Book Title 8,Fiction,2018,25.28,1,6472
510,Book Title 9,Fiction,2006,79.03,2,933
511,Book Title 10,Fiction,1994,73.55,3,2030
512,Book Title 11,Romance,2012,32.05,1,4613
513,Book Title 12,Non-Fiction,1997,54.01,2,8740
514,Book Title 13,Fantasy,2017,60.73,4,9879
515,Book Title 14,Sci-Fi,2023,22.49,4,8177
516,Book Title 15,Fiction,1991,42.2,4,5605
517,Book Title 16,Non-Fiction,1995,6.85,5,5261
518,Book Title 17,Non-Fiction,2016,6.69,5,73
519,Book Title 18,Fiction,1998,47.08,3,5156
520,Book Title 19,Sci-Fi,2020,21.25,3,6261
521,Book Title 20,Fantasy,1994,61.84,5,2134
522,Book Title 21,Fiction,1999,61.02,2,6100
523,Book Title 22,Fantasy,1994,42.6,1,5992
524,Book Title 23,Sci-Fi,2000,78.72,1,419
525,Book Title 24,Non-Fiction,2016,26.13,1,5779
526,Book Title 25,Fiction,2004,97.46,1,7697
527,Book Title 26,Mystery,1984,38.41,1,4487
528,Book Title 27,Biography,2004,15.09,1,4259
529,Book Title 28,Mystery,1985,28.63,5,4813
530,Book Title 29,Fiction,2006,63.66,1,1820
531,Book Title 30,Romance,2012,98.05,2,6102
532,Book Title 31,Fiction,2012,36.61,1,6545
533,Book Title 32,Romance,1992,87.54,5,2631
534,Book Title 33,Biography,2004,86.35,3,8144
535,Book Title 34,Fiction,1981,49.5,2,7627
536,Book Title 35,Fantasy,2004,95.07,3,9411
537,Book Title 36,Sci-Fi,1985,42.58,2,2486
538,Book Title 37,Sci-Fi,1981,99.55,1,441
539,Book Title 38,Mystery,2001,99.19,2,4988
540,Book Title 39,Fiction,2022,77.42,5,6808
541,Book Title 40,Mystery,1993,83.37,4,8592
542,Book Title 41,Fantasy,2006,8.8,2,9130
