order_id,customer_id,book_id,quantity,order_date
210,239,487,2,2024-05-22
211,278,119,2,2024-05-13
212,264,202,3,2024-06-11
213,127,245,2,2024-05-06
214,54,358,5,2024-05-27
215,249,266,3,2024-02-06
216,42,21,2,2024-07-01
217,202,473,5,2024-04-19
218,124,176,1,2024-05-05
219,217,239,5,2024-07-09
220,132,89,1,2024-02-01
221,256,416,1,2024-01-11
222,32,175,4,2024-07-13
223,153,416,4,2024-05-20
224,133,473,5,2024-07-15
225,268,492,5,2024-08-05
226,77,198,3,2024-10-19
227,179,272,5,2024-06-18
228,57,143,4,2024-01-28
229,280,84,1,2024-03-30
230,238,363,2,2024-01-17
231,39,99,3,2024-03-14
232,206,176,4,2024-07-30
233,104,435,3,2024-01-22
234,290,301,1,2024-04-09
235,298,317,3,2024-01-02
236,194,184,5,2024-03-26
237,53,54,1,2024-06-06
238,22,51,1,2024-07-11
239,43,453,5,2024-04-12
240,131,49,5,2024-04-08
241,100,10,5,2024-08-01
242,51,208,3,2024-09-30
243,56,445,1,2024-07-13
244,289,336,1,2024-08-06
245,237,116,1,2024-08-28
246,184,95,5,2024-04-09
247,131,131,4,2024-04-26
248,17,181,4,2024-07-21
249,263,40,4,2024-03-28
250,101,34,1,2024-02-19
251,84,119,3,2024-05-20
252,300,360,1,2024-08-22
253,131,434,4,2024-09-27
254,285,287,3,2024-10-05
255,294,396,5,2024-06-16
256,201,29,3,2024-10-13
257,237,323,2,2024-06-28
258,232,368,4,2024-08-26
259,85,47,1,2024-02-17
260,125,406,2,2024-05-18
261,114,452,2,2024-03-31
262,120,328,3,2024-06-21
263,227,132,3,2024-02-09
264,283,204,4,2024-04-25
265,79,46,1,2024-02-06
266,22,149,2,2024-06-14
267,138,76,3,2024-09-07
268,30,31,4,2024-07-26
269,286,394,3,2024-04-12
270,249,430,4,2024-05-03
271,168,98,1,2024-04-05
272,161,6,4,2024-04-05
273,186,448,5,2024-04-05
274,190,16,1,2024-03-17
275,198,273,2,2024-05-31
276,236,391,3,2024-08-24
277,218,451,4,2024-06-05
278,160,340,1,2024-02-02
279,116,315,3,2024-06-29
280,47,375,4,2024-09-25
281,233,122,2,2024-03-02
282,226,244,5,2024-02-11
283,79,324,3,2024-10-07
284,133,429,5,2024-08-23
285,115,130,5,2024-02-18
286,191,476,4,2024-04-18
287,193,451,3,2024-07-28
288,275,216,4,2024-02-03
289,60,178,5,2024-06-02
290,143,450,4,2024-03-16
291,208,465,4,2024-05-15
292,230,307,2,2024-05-31
293,81,246,4,2024-10-15
294,288,32,3,2024-02-12
295,8,413,5,2024-10-11
296,248,465,5,2024-08-07
297,130,190,5,2024-02-17
298,228,138,4,2024-08-20
299,12,180,3,2024-04-22
300,30,204,3,2024-07-29
301,126,141,4,2024-07-05
302,267,421,3,2024-10-18
303,212,125,4,2024-06-16
304,26,225,4,2024-09-03
305,40,144,4,2024-03-12
306,85,329,3,2024-06-25
307,104,474,2,2024-03-28
308,169,170,3,2024-10-29
309,207,60,4,2024-09-08
310,177,276,5,2024-10-16
311,146,242,1,2024-03-23
312,216,411,2,2024-09-15
313,36,171,1,2024-03-28
314,71,95,2,2024-08-16
315,120,187,5,2024-05-10
316,253,303,3,2024-07-03
317,218,447,5,2024-09-05
318,80,239,5,2024-01-22
319,31,493,4,2024-11-12
320,224,464,3,2024-01-30
321,105,461,4,2024-10-23
322,196,344,3,2024-04-12
323,80,493,3,2024-11-17
324,50,178,5,2024-06-22
325,200,462,4,2024-10-11
326,227,357,5,2024-01-29
327,209,363,3,2024-02-27
328,8,336,4,2024-05-02
329,19,394,4,2024-01-02
330,234,87,2,2024-08-29
331,142,246,5,2024-09-19
332,221,334,2,2024-01-12
333,89,324,5,2024-03-31
334,300,402,1,2024-11-16
335,161,14,5,2024-11-05
336,212,454,1,2024-04-08
337,179,339,5,2024-11-09
338,247,469,3,2024-01-22
339,214,289,1,2024-06-25
340,89,376,2,2024-09-17
341,298,323,3,2024-08-18
342,66,330,1,2024-02-07
343,247,73,4,2024-09-27
344,151,75,2,2024-04-12
345,221,410,4,2024-09-14
346,269,147,3,2024-04-24
347,151,250,4,2024-04-02
348,283,147,3,2024-05-27
349,238,117,4,2024-06-02
350,123,112,2,2024-03-17
351,20,23,4,2024-06-26
352,276,404,1,2024-06-09
353,114,390,3,2024-01-17
354,209,119,1,2024-02-26
355,156,238,4,2024-07-15
356,152,448,4,2024-11-02
357,54,194,3,2024-07-26
358,288,395,3,2024-09-29
359,204,328,2,2024-03-30
360,127,17,5,2024-07-14
361,194,271,2,2024-09-19
362,253,375,5,2024-07-16
363,252,435,4,2024-05-28
364,238,43,2,2024-06-13
365,40,281,5,2024-07-10
366,121,136,2,2024-05-30
367,156,128,3,2024-06-09
368,109,422,4,2024-10-09
369,184,322,2,2024-01-23
370,34,170,2,2024-01-08
371,106,337,2,2024-06-27
372,238,125,5,2024-10-03
373,99,371,1,2024-10-25
374,117,295,1,2024-03-25
375,202,242,2,2024-02-28
376,203,225,1,2024-11-03
377,129,175,3,2024-11-02
378,73,470,5,2024-07-04
379,276,77,3,2024-04-05
380,64,295,2,2024-06-14
381,142,397,5,2024-03-01
382,145,278,1,2024-02-01
383,97,79,4,2024-01-05
384,77,413,5,2024-08-06
385,277,265,5,2024-09-19
386,28,34,4,2024-03-16
387,45,61,5,2024-08-10
388,96,78,5,2024-02-02
389,58,347,1,2024-03-28
390,216,63,5,2024-06-06
391,49,206,4,2024-01-18
392,40,473,3,2024-07-31
393,200,224,5,2024-06-11
394,21,234,4,2024-07-03
395,40,222,5,2024-01-10
396,43,242,4,2024-01-27
397,97,453,1,2024-09-06
398,115,350,4,2024-06-23
399,189,259,4,2024-09-21
400,287,140,3,2024-01-24
401,53,436,1,2024-10-27
402,34,292,2,2024-05-02
403,70,420,3,2024-06-12
404,141,252,2,2024-03-01
405,241,293,4,2024-11-13
406,200,213,2,2024-03-06
407,3,198,4,2024-04-03
408,130,194,3,2024-06-30
409,256,155,5,2024-11-09
410,10,222,4,2024-06-26
411,195,269,4,2024-05-06
412,21,219,4,2024-07-03
413,273,231,3,2024-05-19
414,237,301,1,2024-01-21
415,164,317,4,2024-10-27
416,145,91,5,2024-06-24
417,38,178,3,2024-11-03
418,221,452,5,2024-09-16
419,39,335,3,2024-05-25
420,275,327,1,2024-02-15
421,201,125,3,2024-02-20
422,245,96,3,2024-08-29
423,39,468,4,2024-09-16
424,131,236,3,2024-10-09
425,71,268,3,2024-09-01
426,171,283,3,2024-05-18
427,45,442,4,2024-08-20
428,29,362,5,2024-02-02
429,107,191,2,2024-05-17
430,76,107,4,2024-05-13
431,294,108,2,2024-05-08
432,177,452,5,2024-08-01
433,7,324,5,2024-05-05
434,72,336,3,2024-07-22
435,189,177,1,2024-11-16
436,130,166,2,2024-08-12
437,246,296,5,2024-01-24
438,161,123,2,2024-09-02
439,244,112,5,2024-11-08
440,65,375,1,2024-07-05
441,27,262,5,2024-05-16
442,117,65,1,2024-03-31
443,112,498,5,2024-01-07
444,148,147,1,2024-05-03
445,272,331,1,2024-04-11
446,26,198,1,2024-11-01
447,68,379,1,2024-07-30
448,112,55,1,2024-05-19
449,205,8,3,2024-02-23
450,298,195,2,2024-02-28
451,233,195,5,2024-08-08
452,134,298,3,2024-06-09
453,205,454,4,2024-02-27
454,165,15,2,2024-08-11
455,159,45,2,2024-04-13
456,112,203,5,2024-07-31
457,140,214,2,2024-01-22
458,108,114,5,2024-07-15
459,199,393,5,2024-07-09
460,146,444,1,2024-08-18
461,115,296,4,2024-05-11
462,175,55,2,2024-07-21
463,259,338,4,2024-09-21
464,288,337,3,2024-05-13
465,99,417,3,2024-05-28
466,221,333,4,2024-01-14
467,287,388,1,2024-05-05
468,166,89,3,2024-01-10
469,122,458,4,2024-09-22
470,215,4,2,2024-03-04
471,231,249,2,2024-04-27
472,109,282,3,2024-04-24
473,23,470,5,2024-05-10
474,149,352,5,2024-03-28
475,123,458,2,2024-11-19
476,200,309,4,2024-01-13
477,90,28,4,2024-02-21
478,163,435,5,2024-09-29
479,146,454,1,2024-05-19
480,182,29,2,2024-05-10
481,248,9,1,2024-09-08
482,270,382,5,2024-10-10
483,170,209,2,2024-02-16
484,154,22,5,2024-05-11
485,262,473,1,2024-05-12
486,247,496,5,2024-05-30
487,183,57,1,2024-06-23
488,296,144,1,2024-09-20
489,256,236,3,2024-10-14
490,125,436,4,2024-11-18
491,49,260,3,2024-04-21
492,143,217,2,2024-07-28
493,191,183,4,2024-06-09
494,119,406,2,2024-09-08
495,225,328,3,2024-05-05
496,243,42,2,2024-07-21
497,122,404,3,2024-06-04
498,298,373,2,2024-03-25
499,197,252,3,2024-04-21
500,178,415,2,2024-04-22
501,95,216,5,2024-07-20
502,228,361,3,2024-06-30
503,278,365,5,2024-01-05
504,143,322,3,2024-10-08
505,225,198,3,2024-04-10
506,39,8,4,2024-04-15
507,24,340,3,2024-08-11
508,14,430,3,2024-01-17
509,123,256,2,2024-02-26
510,219,135,5,2024-09-12
511,16,357,3,2024-06-18
512,36,442,1,2024-03-23
513,232,368,5,2024-07-23
514,1,68,5,2024-05-28
515,199,249,1,2024-04-11
516,121,489,1,2024-05-17
517,226,180,1,2024-09-25
518,104,249,4,2024-08-17
519,136,310,3,2024-03-12
520,91,496,5,2024-09-12
521,62,222,3,2024-09-13
522,151,197,1,2024-05-07
523,67,265,1,2024-05-07
524,52,56,5,2024-03-16
525,185,32,3,2024-09-05
526,279,319,1,2024-05-18
527,213,380,1,2024-05-09
528,55,218,1,2024-05-20
529,201,162,5,2024-07-16
530,147,254,1,2024-09-07
531,81,322,1,2024-01-17
532,70,283,3,2024-05-15
533,78,199,2,2024-07-26
534,134,26,5,2024-01-14
535,172,222,3,2024-08-07
536,119,380,3,2024-07-24
537,79,256,2,2024-04-16
538,21,375,1,2024-10-13
539,164,297,5,2024-08-10
540,197,342,4,2024-09-21
541,159,246,4,2024-01-18
542,238,273,1,2024-11-06
543,257,196,2,2024-04-19
544,231,469,3,2024-10-18
545,18,491,3,2024-10-28
546,105,356,1,2024-10-30
547,151,288,3,2024-03-25
548,20,301,5,2024-02-19
549,87,454,1,2024-05-24
550,154,323,4,2024-02-03
551,252,358,5,2024-07-02
552,4,77,2,2024-04-04
553,68,117,3,2024-07-28
554,295,30,5,2024-07-25
555,100,205,4,2024-01-29
556,22,276,4,2024-04-19
557,124,428,3,2024-06-21
558,55,150,3,2024-08-11
559,124,327,5,2024-07-09
560,172,209,4,2024-07-04
561,198,258,3,2024-11-03
562,296,279,3,2024-10-03
563,117,190,4,2024-11-19
564,185,268,3,2024-07-22
565,263,209,1,2024-07-12
566,279,2,5,2024-08-06
567,241,55,5,2024-04-07
568,138,346,4,2024-09-01
569,265,319,4,2024-06-19
570,17,446,3,2024-07-04
571,300,433,4,2024-05-17
572,251,278,3,2024-09-24
573,257,498,1,2024-01-30
574,17,249,4,2024-10-15
575,222,164,5,2024-08-14
576,143,176,4,2024-04-29
577,67,80,5,2024-03-03
578,260,425,5,2024-01-05
579,246,205,3,2024-04-06
580,253,255,4,2024-10-12
581,260,252,3,2024-05-15
582,173,133,1,2024-10-07
583,116,160,3,2024-01-17
584,161,418,1,2024-05-16
585,44,457,5,2024-02-02
586,80,471,4,2024-07-11
587,137,208,4,2024-07-21
588,93,72,5,2024-09-12
589,277,154,2,2024-08-22
590,13,378,2,2024-02-21
591,118,131,4,2024-09-28
592,80,250,3,2024-02-22
593,167,197,1,2024-03-15
594,101,324,5,2024-02-12
595,122,329,3,2024-08-27
596,288,437,3,2024-09-23
597,49,119,3,2024-06-07
598,98,52,3,2024-07-05
599,26,230,4,2024-06-24
600,244,75,3,2024-08-07
601,170,180,4,2024-03-08
602,224,357,3,2024-08-19
603,294,424,4,2024-02-02
604,192,442,3,2024-10-22
605,268,470,3,2024-05-10
606,76,60,2,2024-08-22
607,131,482,2,2024-04-07
608,280,24,2,2024-02-09
609,54,452,2,2024-04-11
610,292,326,3,2024-02-10
611,29,98,2,2024-06-14
612,250,307,4,2024-03-24
613,84,306,1,2024-10-31
614,41,468,2,2024-05-26
615,271,483,5,2024-04-05
616,21,371,4,2024-03-10
617,164,307,1,2024-03-10
618,179,194,3,2024-08-24
619,132,231,5,2024-02-28
620,290,199,1,2024-08-04
621,29,216,1,2024-05-07
622,272,431,3,2024-03-17
623,93,5,5,2024-09-21
624,225,417,4,2024-03-01
625,19,50,5,2024-09-12
626,17,421,3,2024-10-16
627,191,186,5,2024-03-19
628,105,418,5,2024-03-12
629,70,317,4,2024-03-28
630,38,190,3,2024-05-23
631,30,124,4,2024-09-21
632,24,189,4,2024-06-20
633,258,140,5,2024-02-24
634,68,335,1,2024-07-10
635,131,394,1,2024-08-27
636,40,241,4,2024-03-17
637,70,297,1,2024-08-30
638,268,215,3,2024-02-17
639,273,138,3,2024-07-04
640,40,265,2,2024-03-06
641,16,379,4,2024-09-06
642,16,337,2,2024-06-24
643,133,243,1,2024-01-09
644,14,495,5,2024-07-26
645,231,498,3,2024-02-25
646,203,436,3,2024-09-03
647,21,438,1,2024-05-22
648,221,499,3,2024-02-24
649,196,335,5,2024-11-13
650,41,162,5,2024-11-19
651,123,310,2,2024-03-13
652,282,300,4,2024-09-08
653,145,498,1,2024-01-20
654,270,334,4,2024-11-15
655,208,439,3,2024-02-03
656,179,27,3,2024-07-12
657,285,326,2,2024-06-18
658,281,47,3,2024-07-18
659,205,280,5,2024-08-06
660,131,345,3,2024-04-17
661,14,318,1,2024-01-11
662,202,188,3,2024-01-20
663,116,9,4,2024-05-18
664,170,40,1,2024-02-17
665,202,203,2,2024-02-23
666,108,446,2,2024-07-23
667,206,342,4,2024-10-06
668,24,486,5,2024-07-20
669,62,276,1,2024-11-13
670,209,233,4,2024-02-12
671,273,335,4,2024-11-16
672,285,339,4,2024-07-31
673,160,223,3,2024-09-17
674,255,190,3,2024-03-07
675,189,116,3,2024-09-09
676,39,358,1,2024-06-23
677,193,274,5,2024-10-12
678,181,327,5,2024-08-13
679,136,378,4,2024-05-31
680,180,408,3,2024-09-18
681,12,316,5,2024-07-30
682,103,387,3,2024-06-19
683,117,162,5,2024-03-08
684,101,459,2,2024-09-21
685,229,208,5,2024-06-26
686,62,62,2,2024-07-06
687,177,210,2,2024-03-24
688,242,87,1,2024-07-11
689,97,411,5,2024-02-15
690,40,423,3,2024-09-17
691,51,73,4,2024-03-14
692,57,188,5,2024-08-10
693,143,192,5,2024-05-06
694,290,134,3,2024-11-05
695,25,240,3,2024-01-17
696,125,118,1,2024-07-03
697,271,16,3,2024-02-09
698,168,264,4,2024-10-06
699,41,129,2,2024-03-01
700,284,129,5,2024-08-28
701,106,71,5,2024-07-09
702,12,2,5,2024-08-30
703,149,76,2,2024-07-15
704,186,429,4,2024-08-21
705,86,71,5,2024-09-21
706,122,460,5,2024-03-02
707,182,78,2,2024-02-11
708,8,350,3,2024-05-28
709,81,86,5,2024-07-26
710,215,259,1,2024-07-28
711,112,306,5,2024-09-04
712,74,180,1,2024-05-24
713,202,19,3,2024-08-08
714,149,159,1,2024-03-08
715,32,484,4,2024-10-21
716,260,184,1,2024-11-15
717,97,291,3,2024-10-25
718,273,386,3,2024-08-25
719,225,187,1,2024-07-26
720,128,63,4,2024-05-17
721,50,120,1,2024-08-10
722,218,169,2,2024-01-12
723,16,316,4,2024-10-22
724,121,328,2,2024-01-15
725,34,471,2,2024-03-14
726,231,282,3,2024-06-09
727,90,155,1,2024-06-22
728,281,366,5,2024-02-03
729,10,206,5,2024-09-09
730,55,333,2,2024-07-28
731,58,143,4,2024-03-12
732,50,432,3,2024-01-06
733,41,332,4,2024-02-06
734,289,270,2,2024-09-16
735,281,7,4,2024-02-15
736,264,4,1,2024-01-20
737,86,149,3,2024-08-19
738,92,410,3,2024-06-18
739,84,242,5,2024-02-23
740,286,296,1,2024-02-14
741,250,474,2,2024-09-11
742,73,417,3,2024-10-29
743,245,251,3,2024-03-01
744,257,255,3,2024-07-20
745,12,135,4,2024-07-10
746,15,21,5,2024-03-27
747,25,135,4,2024-05-06
748,68,170,5,2024-05-30
749,96,261,2,2024-06-07
750,204,369,3,2024-05-03
751,87,311,4,2024-02-13
752,293,444,5,2024-09-22
753,52,419,1,2024-02-19
754,238,82,5,2024-05-02
755,119,25,5,2024-10-18
756,189,147,2,2024-06-02
757,109,81,1,2024-05-03
758,157,459,3,2024-02-07
759,78,133,5,2024-07-22
760,145,230,4,2024-10-18
761,217,430,4,2024-03-24
762,124,74,5,2024-03-07
763,246,480,4,2024-10-31
764,235,161,5,2024-08-13
765,59,70,4,2024-06-17
766,102,376,4,2024-03-26
767,168,404,2,2024-09-19
768,22,4,4,2024-04-27
769,251,411,4,2024-04-06
770,97,492,1,2024-07-10
771,111,225,2,2024-04-05
772,174,321,4,2024-08-03
773,83,177,5,2024-06-08
774,72,155,5,2024-04-01
775,157,273,3,2024-01-08
776,187,221,3,2024-01-26
777,52,318,4,2024-05-27
778,39,345,1,2024-02-13
779,72,250,4,2024-08-02
780,31,495,2,2024-06-13
781,170,429,4,2024-08-29
782,54,266,5,2024-07-31
783,147,427,1,2024-09-07
784,130,286,1,2024-03-19
785,215,438,3,2024-02-22
786,212,431,4,2024-07-26
787,26,159,2,2024-03-18
788,2,26,5,2024-11-05
789,234,386,5,2024-01-16
790,208,456,5,2024-04-05
791,101,330,3,2024-05-23
792,157,51,3,2024-09-28
793,215,364,5,2024-04-20
794,253,168,4,2024-02-02
795,71,284,3,2024-05-30
796,169,498,4,2024-09-07
797,27,115,3,2024-06-11
798,12,29,3,2024-07-07
799,115,321,5,2024-03-07
800,239,223,2,2024-08-06
801,160,251,5,2024-02-25
802,187,254,4,2024-01-18
803,265,292,5,2024-08-16
804,47,458,3,2024-04-08
805,135,391,4,2024-02-26
806,192,49,4,2024-01-01
807,56,355,1,2024-10-06
808,98,207,3,2024-10-22
809,68,371,1,2024-01-22
810,53,342,4,2024-03-03
811,234,458,5,2024-02-09
812,216,197,2,2024-04-02
813,262,391,3,2024-07-18
814,240,196,5,2024-09-12
815,220,366,3,2024-09-21
816,283,402,4,2024-02-14
817,258,456,5,2024-02-04
818,174,125,2,2024-04-04
819,200,297,1,2024-06-26
820,195,318,5,2024-01-28
821,290,67,5,2024-08-03
822,255,117,5,2024-03-19
823,198,205,1,2024-01-13
824,280,388,5,2024-10-28
825,59,270,4,2024-06-02
826,122,102,4,2024-06-25
827,163,471,2,2024-03-19
828,181,40,4,2024-07-06
829,293,436,5,2024-08-06
830,280,397,5,2024-08-30
831,177,202,1,2024-05-14
832,36,492,1,2024-10-20
833,1,257,1,2024-10-28
834,91,105,3,2024-09-21
835,208,16,1,2024-04-06
836,279,408,3,2024-08-03
837,132,344,5,2024-06-17
838,252,262,2,2024-10-12
839,54,249,1,2024-02-20
840,239,425,4,2024-06-29
841,285,125,5,2024-01-18
842,191,82,5,2024-10-04
843,162,310,4,2024-08-31
844,173,149,4,2024-06-02
845,254,375,3,2024-06-17
846,4,487,2,2024-10-29
847,217,294,5,2024-05-20
848,63,372,2,2024-04-12
849,13,410,4,2024-09-12
850,25,183,3,2024-06-20
851,264,491,4,2024-04-24
852,68,83,3,2024-04-14
853,86,477,4,2024-03-09
854,110,224,1,2024-04-14
855,119,159,2,2024-10-11
856,89,147,5,2024-11-08
857,51,70,3,2024-08-25
858,159,116,4,2024-08-05
859,253,375,2,2024-06-13
860,24,140,4,2024-03-26
861,116,390,1,2024-06-25
862,211,461,3,2024-05-20
863,57,393,2,2024-06-04
864,279,308,3,2024-01-18
865,2,242,2,2024-07-22
866,29,324,4,2024-10-18
867,4,100,3,2024-02-12
868,253,371,1,2024-09-04
869,90,176,3,2024-10-03
870,20,62,4,2024-03-28
871,186,71,4,2024-06-24
872,19,368,2,2024-02-03
873,198,344,2,2024-01-05
874,108,28,3,2024-05-22
875,204,19,5,2024-07-03
876,51,236,2,2024-07-19
877,39,329,3,2024-08-03
878,6,403,5,2024-10-01
879,271,221,4,2024-07-05
880,78,80,3,2024-03-01
881,171,230,1,2024-05-07
882,50,147,3,2024-03-11
883,269,410,2,2024-06-01
884,49,320,3,2024-06-27
885,229,312,2,2024-11-03
886,297,487,3,2024-01-06
887,2,30,5,2024-10-11
888,93,124,2,2024-04-22
889,214,398,3,2024-10-30
890,48,453,3,2024-11-17
891,166,456,1,2024-11-17
892,233,490,2,2024-03-28
893,4,322,2,2024-04-05
894,64,379,3,2024-06-10
895,267,157,2,2024-01-26
896,46,11,1,2024-07-12
897,21,347,4,2024-11-06
898,52,328,2,2024-04-04
899,107,174,2,2024-11-02
900,72,347,5,2024-04-29
901,261,87,3,2024-03-09
902,280,356,4,2024-01-13
903,274,406,4,2024-05-03
904,193,165,3,2024-09-07
905,109,344,3,2024-05-15
906,98,307,2,2024-05-22
907,292,395,1,2024-09-12
908,184,55,4,2024-09-25
909,268,132,5,2024-06-04
910,203,370,4,2024-11-11
911,99,100,1,2024-03-26
912,86,267,3,2024-08-04
913,163,8,1,2024-08-30
914,284,148,2,2024-07-05
915,6,188,5,2024-07-19
916,238,485,5,2024-04-29
917,221,142,5,2024-10-09
918,15,275,1,2024-05-16
919,116,380,5,2024-02-09
920,252,23,3,2024-01-13
921,295,424,1,2024-08-21
922,276,163,4,2024-10-22
923,279,332,3,2024-05-15
924,141,6,5,2024-10-20
925,82,229,4,2024-09-22
926,37,11,2,2024-01-17
927,287,215,3,2024-05-13
928,188,312,1,2024-01-12
929,217,244,1,2024-08-05
930,184,326,3,2024-04-15
